Thread ID: 2148237740
Total: 9.354427

 %self     total     self     wait    child    calls  name
  0.01      0.01     0.00     0.00     0.01       45  Dictionary#add(d82)
  0.01      0.01     0.00     0.00     0.01       41  Dictionary#add(d83)
  0.01      0.01     0.00     0.00     0.01       34  Dictionary#add(d84)
  0.01      0.01     0.00     0.00     0.01       31  Dictionary#add(d85)
  0.01      0.01     0.00     0.00     0.01       29  Dictionary#add(d86)
  0.01      0.01     0.00     0.00     0.00       25  Dictionary#add(d87)
  0.00      0.00     0.00     0.00     0.00       21  Dictionary#add(d88)
  0.00      0.00     0.00     0.00     0.00       19  Dictionary#add(d89)
  0.00      0.00     0.00     0.00     0.00       19  Dictionary#add(d90)
  0.00      0.00     0.00     0.00     0.00       13  Dictionary#add(d92)
  0.00      0.00     0.00     0.00     0.00       15  Dictionary#add(d91)
  0.00      0.00     0.00     0.00     0.00       12  Dictionary#add(d93)
  0.00      0.00     0.00     0.00     0.00        9  Dictionary#add(d94)
  0.00      0.00     0.00     0.00     0.00        8  Dictionary#add(d95)
  0.00      0.00     0.00     0.00     0.00        5  Dictionary#add(d96)
  0.00      0.00     0.00     0.00     0.00        4  Dictionary#add(d101)
  0.00      0.00     0.00     0.00     0.00        4  Dictionary#add(d100)
  0.00      0.00     0.00     0.00     0.00        4  Dictionary#add(d98)
  0.00      0.00     0.00     0.00     0.00        4  Dictionary#add(d99)
  0.00      0.00     0.00     0.00     0.00        4  Dictionary#add(d97)
  0.00      0.00     0.00     0.00     0.00        4  Dictionary#add(d102)
  0.00      9.35     0.00     0.00     9.35        1  Global#[No method]
  0.00      0.00     0.00     0.00     0.00        1  Dictionary#add(d103)
  0.00      0.00     0.00     0.00     0.00        1  Dictionary#add(d104)
  0.00      0.00     0.00     0.00     0.00        1  Dictionary#add(d105)
  0.00      0.00     0.00     0.00     0.00        1  Dictionary#add(d106)


